دسته‌بندی,معیار,مقدار,توضیحات
عملکرد,زمان پاسخ,<2 ثانیه,برای سوالات سوالات متداول
عملکرد,کاربران همزمان,100+,کاربران همزمان پشتیبانی شده
عملکرد,استفاده از حافظه,~200MB پایه,+ 50MB برای هر 1000 سوال متداول
عملکرد,ذخیره‌سازی,~1MB برای هر 1000 سوال متداول,با جاسازی‌ها
ROI,کاهش بار پشتیبانی,60-80%,کاهش درخواست‌های روتین
ROI,زمان پاسخ,<2 ثانیه,زمان پاسخ متوسط
ROI,نرخ موفقیت,>90%,سوالات پاسخ داده شده صحیح
ROI,زمان فعالیت سیستم,99%+,در دسترس بودن سیستم
فناوری,چارچوب بک‌اند,FastAPI 0.104.1,چارچوب وب با عملکرد بالا
فناوری,چارچوب فرانت‌اند,Next.js 14.2.5,چارچوب برنامه کاربردی وب مدرن
فناوری,مدل هوش مصنوعی,OpenAI GPT-4o-mini,درک پیشرفته زبان
فناوری,پایگاه داده,SQLite با گزینه PostgreSQL,ذخیره‌سازی داده قابل اعتماد
امنیت,امنیت API,CORS + اعتبارسنجی,اعتبارسنجی ورودی و پیکربندی CORS
امنیت,محافظت از داده,متغیرهای محیطی,ذخیره‌سازی کلید API امن
امنیت,احراز هویت,آماده JWT,احراز هویت توکن JWT برنامه‌ریزی شده
استقرار,Docker,توصیه شده,بک‌اند + فرانت‌اند + پایگاه داده
استقرار,Vercel,بدون سرور,توابع بدون سرور با Python 3.11
استقرار,Render,سرویس وب,محیط Python 3.11 با تداوم
استقرار,سرور دستی,سنتی,پروکسی معکوس Nginx با SSL

